Data:          2021-10-03_10_31_30
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      0
Quedas:        17 (18-1)

manga:         07435 pontos / 095 golpes / 62.53 km/h
neyde:         06886 pontos / 111 golpes / 55.74 km/h

Parcial:       14321 pontos
Desequilibrio: 00000 (-)
Quedas:        05156 (-)

FINAL:         09165 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
614647   <-   044
615239   ->   065
615584   <-   044
616224   ->   066
616565   <-   039
617269   ->   069
617589   <-   046
618229   ->   063
618656   <-   044
619274   ->   069


SEQUÊNCIA 19
============

TEMPO   DIR   KMH
-----   ---   ---
631307   <-   051
631904   ->   041
632329   <-   049
632928   ->   042
633398   <-   058
633781   ->   042
634465   <-   043
635062   ->   038
635574   <-   050
636554   <-   058
637024   ->   047
637366   <-   040
637963   ->   042
638454   <-   054
638966   ->   055
639520   <-   043
640161   ->   067
640499   <-   044
641140   ->   049
641611   <-   043
642231   ->   065
643532   ->   057
643914   <-   040
644554   ->   038
645132   <-   042



