Data:          2021-10-02_13_56_24
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      9
Quedas:        10 (11-1)

helton:        10956 pontos / 136 golpes / 62.99 km/h
clemerson:     10937 pontos / 133 golpes / 63.87 km/h

Parcial:       21893 pontos
Desequilibrio: 00000 (-)
Quedas:        03284 (-)

FINAL:         18609 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
419032   <-   036
419758   ->   048
420440   <-   073
420870   ->   043
421543   <-   076
421974   ->   039


SEQUÊNCIA 12
============

TEMPO   DIR   KMH
-----   ---   ---
503938   ->   054
504384   <-   050
504985   ->   051
505503   <-   067
505941   ->   048
506502   <-   067
506971   ->   048
507478   <-   070
507946   ->   052
508417   <-   058
508933   ->   049
509482   <-   071
509868   ->   048
510469   <-   036
511133   ->   054
511602   <-   062
512105   ->   040
513514   ->   046
514070   <-   064
514541   ->   051
515050   <-   046
515694   ->   045
516292   <-   062
516715   ->   052
517238   <-   066
517714   ->   048
518192   <-   056
518785   ->   055
519260   <-   068
519725   ->   043
520373   <-   042
521119   ->   047
521670   <-   069
522049   ->   048
522644   <-   069
523074   ->   046
523648   <-   041
524356   ->   054
524830   <-   043
525509   ->   069
525892   <-   047
526614   ->   068
527004   <-   044
527681   ->   063
528110   <-   050
528706   ->   068
529112   <-   045
529752   ->   069
530225   <-   046
530904   ->   072
531285   <-   044
531929   ->   067
532401   <-   048
533039   ->   069
533423   <-   048
534107   ->   043
535742   ->   044
536341   <-   044
537045   ->   046
537537   <-   063
538007   ->   047
538565   <-   054
539072   ->   056
539585   <-   061
540058   ->   052
540528   <-   041
541269   ->   064
541701   <-   039
542378   ->   046
542933   <-   048
543575   ->   064
543963   <-   044
544643   ->   060
545113   <-   049
545692   ->   068
546200   <-   042
546926   ->   065
547351   <-   053
547903   ->   061
548317   <-   049
549000   ->   062
549375   <-   049
549977   ->   062
550405   <-   039
551193   ->   045
551748   <-   042
552493   ->   053
552965   <-   047
553643   ->   042
554242   <-   066
554668   ->   042
555271   <-   063
557419   ->   041
558035   <-   065
558511   ->   048
559064   <-   064
559470   ->   044
560068   <-   072
560499   ->   049



